word_entry	word_level_CEFRLex	word_frequency_total_CEFRLex	stratum_random_sample
water|NOUN	A1	448.056	stratum_1
house|NOUN	A1	1076.3532	stratum_1
table|NOUN	A1	383.8297	stratum_2
building|NOUN	A1	207.6124	stratum_2
holiday|NOUN	A1	170.7255	stratum_3
back|NOUN	A1	171.6991	stratum_3
order|NOUN	A1	121.818	stratum_4
thanks|NOUN	A1	126.9298	stratum_4
difference|NOUN	A1	79.9297	stratum_5
tonight|NOUN	A1	93.5677	stratum_5
neck|NOUN	A1	62.309	stratum_6
owner|NOUN	A1	61.4615	stratum_6
smoke|NOUN	A1	48.7527	stratum_7
history|NOUN	A1	57.1311	stratum_7
bathroom|NOUN	A1	38.84	stratum_8
plant|NOUN	A1	39.9488	stratum_8
novel|NOUN	A1	34.3965	stratum_9
chocolate|NOUN	A1	34.4319	stratum_9
café|NOUN	A1	27.6259	stratum_10
boyfriend|NOUN	A1	26.692	stratum_10
know|VERB	A1	3175.1661	stratum_1
find|VERB	A1	1444.3302	stratum_1
give|VERB	A1	1367.7113	stratum_2
feel|VERB	A1	977.3326	stratum_2
let|VERB	A1	547.5329	stratum_3
read|VERB	A1	572.0771	stratum_3
cry|VERB	A1	485.949	stratum_4
listen|VERB	A1	413.5601	stratum_4
answer|VERB	A1	329.5867	stratum_5
learn|VERB	A1	377.2387	stratum_5
drink|VERB	A1	256.7116	stratum_6
enjoy|VERB	A1	238.3862	stratum_6
travel|VERB	A1	181.8364	stratum_7
reach|VERB	A1	185.2155	stratum_7
offer|VERB	A1	151.2632	stratum_8
include|VERB	A1	145.3983	stratum_8
fill|VERB	A1	110.7846	stratum_9
add|VERB	A1	123.2079	stratum_9
protect|VERB	A1	96.5405	stratum_10
describe|VERB	A1	82.198	stratum_10
sense|NOUN	A2	90.1936	stratum_1
need|NOUN	A2	68.0434	stratum_1
fall|NOUN	A2	34.7457	stratum_2
contact|NOUN	A2	31.395	stratum_2
van|NOUN	A2	24.8009	stratum_3
fight|NOUN	A2	21.1733	stratum_3
journalist|NOUN	A2	20.5732	stratum_4
torch|NOUN	A2	16.4628	stratum_4
capital|NOUN	A2	13.3763	stratum_5
request|NOUN	A2	12.9544	stratum_5
balance|NOUN	A2	10.9084	stratum_6
master|NOUN	A2	9.9795	stratum_6
outside|NOUN	A2	7.8092	stratum_7
robber|NOUN	A2	6.2556	stratum_7
exit|NOUN	A2	5.0778	stratum_8
column|NOUN	A2	4.5172	stratum_8
make-up|NOUN	A2	3.3691	stratum_9
tray|NOUN	A2	3.7498	stratum_9
decoration|NOUN	A2	2.6464	stratum_10
flu|NOUN	A2	2.9337	stratum_10
create|VERB	A2	95.2741	stratum_1
realize|VERB	A2	169.4006	stratum_1
promise|VERB	A2	90.3476	stratum_2
mind|VERB	A2	56.9291	stratum_2
place|VERB	A2	54.0981	stratum_3
trust|VERB	A2	44.565	stratum_3
name|VERB	A2	39.9152	stratum_4
approach|VERB	A2	41.3213	stratum_4
admire|VERB	A2	27.1596	stratum_5
fit|VERB	A2	33.5867	stratum_5
sink|VERB	A2	21.8619	stratum_6
struggle|VERB	A2	26.728	stratum_6
punish|VERB	A2	20.702	stratum_7
train|VERB	A2	20.8009	stratum_7
determine|VERB	A2	17.363	stratum_8
cycle|VERB	A2	16.3361	stratum_8
hug|VERB	A2	11.7666	stratum_9
mix|VERB	A2	14.1105	stratum_9
operate|VERB	A2	11.5461	stratum_10
store|VERB	A2	10.4753	stratum_10
complaint|NOUN	B1	27.7471	stratum_1
laughter|NOUN	B1	32.935	stratum_1
tourism|NOUN	B1	12.9255	stratum_2
failure|NOUN	B1	16.1438	stratum_2
catalogue|NOUN	B1	7.6033	stratum_3
recipe|NOUN	B1	7.6686	stratum_3
bin|NOUN	B1	5.5256	stratum_4
burglar|NOUN	B1	6.8846	stratum_4
defence|NOUN	B1	4.2149	stratum_5
applicant|NOUN	B1	4.1777	stratum_5
junk|NOUN	B1	3.6639	stratum_6
affection|NOUN	B1	3.3339	stratum_6
courtroom|NOUN	B1	2.3233	stratum_7
deadline|NOUN	B1	2.8104	stratum_7
crossroad|NOUN	B1	2.1746	stratum_8
disappearance|NOUN	B1	1.8682	stratum_8
loneliness|NOUN	B1	1.5084	stratum_9
traveler|NOUN	B1	1.5393	stratum_9
praise|NOUN	B1	1.1212	stratum_10
purchase|NOUN	B1	1.0669	stratum_10
stick|VERB	B1	30.0274	stratum_1
attract|VERB	B1	43.0447	stratum_1
employ|VERB	B1	23.6592	stratum_2
achieve|VERB	B1	28.4338	stratum_2
gain|VERB	B1	16.2505	stratum_3
print|VERB	B1	18.2891	stratum_3
suit|VERB	B1	11.3563	stratum_4
invest|VERB	B1	11.3335	stratum_4
handle|VERB	B1	10.3014	stratum_5
maintain|VERB	B1	10.7916	stratum_5
emerge|VERB	B1	7.7125	stratum_6
recall|VERB	B1	7.5324	stratum_6
manufacture|VERB	B1	6.4298	stratum_7
disagree|VERB	B1	5.9596	stratum_7
define|VERB	B1	4.7566	stratum_8
select|VERB	B1	4.6663	stratum_8
interact|VERB	B1	4.3301	stratum_9
scan|VERB	B1	4.134	stratum_9
bind|VERB	B1	3.4697	stratum_10
overlook|VERB	B1	3.2797	stratum_10
task|NOUN	B2	9.1956	stratum_1
chin|NOUN	B2	6.4133	stratum_1
insight|NOUN	B2	3.8876	stratum_2
bandage|NOUN	B2	3.9954	stratum_2
gunfire|NOUN	B2	2.8888	stratum_3
suicide|NOUN	B2	3.1181	stratum_3
spying|NOUN	B2	1.7171	stratum_4
opposition|NOUN	B2	2.3279	stratum_4
potential|NOUN	B2	1.6134	stratum_5
cop|NOUN	B2	1.571	stratum_5
cleanliness|NOUN	B2	1.278	stratum_6
lid|NOUN	B2	1.2625	stratum_6
bug|NOUN	B2	0.7094	stratum_7
rage|NOUN	B2	0.9128	stratum_7
wasp|NOUN	B2	0.6624	stratum_8
consent|NOUN	B2	0.6624	stratum_8
gem|NOUN	B2	0.4535	stratum_9
dialogue|NOUN	B2	0.5394	stratum_9
mould|NOUN	B2	0.4535	stratum_10
shack|NOUN	B2	0.4535	stratum_10
stretch|VERB	B2	7.5984	stratum_1
attempt|VERB	B2	8.4957	stratum_1
vary|VERB	B2	4.2957	stratum_2
whistle|VERB	B2	5.4988	stratum_2
evolve|VERB	B2	2.8878	stratum_3
associate|VERB	B2	3.0377	stratum_3
stamp|VERB	B2	2.3445	stratum_4
lack|VERB	B2	2.6425	stratum_4
curse|VERB	B2	1.8217	stratum_5
crush|VERB	B2	1.7991	stratum_5
price|VERB	B2	1.4509	stratum_6
prosecute|VERB	B2	1.3351	stratum_6
assess|VERB	B2	1.2603	stratum_7
recite|VERB	B2	0.8695	stratum_7
prescribe|VERB	B2	0.6803	stratum_8
enrich|VERB	B2	0.7357	stratum_8
kidnap|VERB	B2	0.6617	stratum_9
con|VERB	B2	0.6444	stratum_9
dispatch|VERB	B2	0.611	stratum_10
hook|VERB	B2	0.5394	stratum_10
lace|NOUN	C1	1.1765	stratum_1
satisfaction|NOUN	C1	4.8967	stratum_1
mining|NOUN	C1	0.6944	stratum_2
arthritis|NOUN	C1	0.7051	stratum_2
worthlessness|NOUN	C1	0.6447	stratum_3
antagonism|NOUN	C1	0.4535	stratum_3
stratosphere|NOUN	C1	0.4535	stratum_4
portrait|NOUN	C1	0.4535	stratum_4
anthology|NOUN	C1	0.2268	stratum_5
coupon|NOUN	C1	0.241	stratum_5
citron|NOUN	C1	0.2268	stratum_6
convalescence|NOUN	C1	0.2268	stratum_6
horsepower|NOUN	C1	0.2268	stratum_7
fallout|NOUN	C1	0.2268	stratum_7
ma|NOUN	C1	0.2268	stratum_8
nationalism|NOUN	C1	0.2268	stratum_8
self-medication|NOUN	C1	0.2268	stratum_9
rehearsal|NOUN	C1	0.2268	stratum_9
walrus|NOUN	C1	0.2268	stratum_10
self-promotion|NOUN	C1	0.2268	stratum_10
scrape|VERB	C1	1.4218	stratum_1
install|VERB	C1	2.0318	stratum_1
immerse|VERB	C1	0.7357	stratum_2
murmur|VERB	C1	1.0846	stratum_2
isolate|VERB	C1	0.6966	stratum_3
straighten|VERB	C1	0.6861	stratum_3
sprawl|VERB	C1	0.5394	stratum_4
simplify|VERB	C1	0.5394	stratum_4
align|VERB	C1	0.2268	stratum_5
astound|VERB	C1	0.2268	stratum_5
detest|VERB	C1	0.2268	stratum_6
combat|VERB	C1	0.2268	stratum_6
drum|VERB	C1	0.2268	stratum_7
frill|VERB	C1	0.2268	stratum_7
integrate|VERB	C1	0.2268	stratum_8
obscure|VERB	C1	0.2268	stratum_8
poke|VERB	C1	0.2268	stratum_9
retouch|VERB	C1	0.2268	stratum_9
squabble|VERB	C1	0.2268	stratum_10
stack|VERB	C1	0.2268	stratum_10
