word_entry	word_level_CEFRLex	word_frequency_total_CEFRLex	stratum_random_sample
caso|NOUN	A1	367.9979	stratum_1
cambio|NOUN	A1	262.427	stratum_1
aspecto|NOUN	A1	157.2735	stratum_2
luz|NOUN	A1	179.0287	stratum_2
objetivo|NOUN	A1	121.3832	stratum_3
importancia|NOUN	A1	103.1985	stratum_3
copa|NOUN	A1	85.882	stratum_4
producción|NOUN	A1	91.7146	stratum_4
técnica|NOUN	A1	68.3202	stratum_5
vuelo|NOUN	A1	69.9591	stratum_5
oro|NOUN	A1	57.463	stratum_6
costumbre|NOUN	A1	59.4241	stratum_6
desierto|NOUN	A1	37.1995	stratum_7
volcán|NOUN	A1	44.7191	stratum_7
cristal|NOUN	A1	33.2299	stratum_8
gastronomía|NOUN	A1	35.9395	stratum_8
tontería|NOUN	A1	24.7037	stratum_9
marisco|NOUN	A1	23.4245	stratum_9
científico|NOUN	A1	21.7595	stratum_10
garaje|NOUN	A1	21.6487	stratum_10
querer|VERB	A1	2371.1421	stratum_1
creer|VERB	A1	963.9461	stratum_1
pedir|VERB	A1	494.4251	stratum_2
necesitar|VERB	A1	586.0332	stratum_2
servir|VERB	A1	270.3182	stratum_3
encantar|VERB	A1	290.5661	stratum_3
elegir|VERB	A1	183.7309	stratum_4
tocar|VERB	A1	197.36	stratum_4
construir|VERB	A1	148.049	stratum_5
comenzar|VERB	A1	156.7078	stratum_5
proponer|VERB	A1	127.2935	stratum_6
continuar|VERB	A1	106.7248	stratum_6
abandonar|VERB	A1	99.7315	stratum_7
reunir|VERB	A1	95.0559	stratum_7
complicar|VERB	A1	74.5432	stratum_8
gritar|VERB	A1	73.3002	stratum_8
publicar|VERB	A1	62.8012	stratum_9
acostumbrar|VERB	A1	62.1518	stratum_9
resolver|VERB	A1	56.3903	stratum_10
picar|VERB	A1	51.7814	stratum_10
remedio|NOUN	A2	31.2863	stratum_1
sueldo|NOUN	A2	62.128	stratum_1
reino|NOUN	A2	21.6631	stratum_2
miel|NOUN	A2	25.2189	stratum_2
archivo|NOUN	A2	15.7808	stratum_3
bolero|NOUN	A2	12.6998	stratum_3
retiro|NOUN	A2	10.9763	stratum_4
humano|NOUN	A2	9.725	stratum_4
contradicción|NOUN	A2	8.8107	stratum_5
cinturón|NOUN	A2	7.7959	stratum_5
latino|NOUN	A2	6.0036	stratum_6
desempleo|NOUN	A2	6.4966	stratum_6
azar|NOUN	A2	5.8452	stratum_7
microondas|NOUN	A2	5.9275	stratum_7
peregrinación|NOUN	A2	4.171	stratum_8
consola|NOUN	A2	4.5672	stratum_8
rumbo|NOUN	A2	3.3252	stratum_9
pendiente|NOUN	A2	3.3212	stratum_9
paracaidismo|NOUN	A2	2.5593	stratum_10
represión|NOUN	A2	2.6426	stratum_10
romper|VERB	A2	78.3103	stratum_1
representar|VERB	A2	114.2675	stratum_1
exigir|VERB	A2	38.6265	stratum_2
mencionar|VERB	A2	29.9961	stratum_2
desesperar|VERB	A2	24.341	stratum_3
provenir|VERB	A2	28.8767	stratum_3
estimular|VERB	A2	18.3482	stratum_4
hervir|VERB	A2	21.3248	stratum_4
rogar|VERB	A2	16.0847	stratum_5
nombrar|VERB	A2	15.8824	stratum_5
acumular|VERB	A2	14.4836	stratum_6
prevenir|VERB	A2	12.6164	stratum_6
rescatar|VERB	A2	9.8822	stratum_7
distribuir|VERB	A2	9.8476	stratum_7
morder|VERB	A2	9.4467	stratum_8
contactar|VERB	A2	9.227	stratum_8
posar|VERB	A2	7.2464	stratum_9
originar|VERB	A2	6.0259	stratum_9
tostar|VERB	A2	5.5059	stratum_10
distraer|VERB	A2	5.7829	stratum_10
referencia|NOUN	B1	20.3897	stratum_1
testimonio|NOUN	B1	13.0661	stratum_1
ingenio|NOUN	B1	6.9326	stratum_2
cemento|NOUN	B1	4.9059	stratum_2
filial|NOUN	B1	3.471	stratum_3
fallo|NOUN	B1	3.3289	stratum_3
boliche|NOUN	B1	2.2505	stratum_4
muralista|NOUN	B1	2.2505	stratum_4
desaparecido|NOUN	B1	2.0853	stratum_5
exclusión|NOUN	B1	2.0041	stratum_5
jerga|NOUN	B1	1.6282	stratum_6
patada|NOUN	B1	1.5951	stratum_6
anoréxico|NOUN	B1	1.2637	stratum_7
mapuche|NOUN	B1	1.3088	stratum_7
aporte|NOUN	B1	0.9532	stratum_8
malo|NOUN	B1	1.0085	stratum_8
sensor|NOUN	B1	0.9281	stratum_9
mérito|NOUN	B1	0.9115	stratum_9
amiga|NOUN	B1	0.8453	stratum_10
monotonía|NOUN	B1	0.9064	stratum_10
armar|VERB	B1	10.6988	stratum_1
percibir|VERB	B1	17.1657	stratum_1
cursar|VERB	B1	8.9942	stratum_2
alertar|VERB	B1	7.0319	stratum_2
cesar|VERB	B1	6.2874	stratum_3
empeñar|VERB	B1	6.8326	stratum_3
remitir|VERB	B1	5.2251	stratum_4
alterar|VERB	B1	5.1908	stratum_4
ascender|VERB	B1	4.3484	stratum_5
asignar|VERB	B1	3.5323	stratum_5
bordar|VERB	B1	3.4078	stratum_6
consumar|VERB	B1	3.3305	stratum_6
imputar|VERB	B1	2.7818	stratum_7
fluir|VERB	B1	2.3021	stratum_7
descomponer|VERB	B1	2.0656	stratum_8
alinear|VERB	B1	2.0544	stratum_8
sacudir|VERB	B1	1.8526	stratum_9
enriquecer|VERB	B1	2.0355	stratum_9
atrasar|VERB	B1	1.3239	stratum_10
descalificar|VERB	B1	1.2835	stratum_10
aspiración|NOUN	B2	3.2807	stratum_1
ácido|NOUN	B2	4.7935	stratum_1
cónyuge|NOUN	B2	2.098	stratum_2
pauta|NOUN	B2	2.1588	stratum_2
mediador|NOUN	B2	1.7786	stratum_3
monopolio|NOUN	B2	1.5668	stratum_3
preservación|NOUN	B2	1.1963	stratum_4
aleta|NOUN	B2	1.1334	stratum_4
metáfora|NOUN	B2	0.9897	stratum_5
química|NOUN	B2	0.9909	stratum_5
duende|NOUN	B2	0.9544	stratum_6
asignación|NOUN	B2	0.9518	stratum_6
gesta|NOUN	B2	0.2794	stratum_7
espiritualidad|NOUN	B2	0.8912	stratum_7
roble|NOUN	B2	0.2771	stratum_8
practicante|NOUN	B2	0.2794	stratum_8
bechamel|NOUN	B2	0.1397	stratum_9
ajedrecista|NOUN	B2	0.1397	stratum_9
esguince|NOUN	B2	0.1397	stratum_10
coplero|NOUN	B2	0.1397	stratum_10
lamentar|VERB	B2	5.9673	stratum_1
afrontar|VERB	B2	6.6001	stratum_1
defraudar|VERB	B2	3.3566	stratum_2
involucrar|VERB	B2	3.4233	stratum_2
depurar|VERB	B2	2.1459	stratum_3
atormentar|VERB	B2	2.1073	stratum_3
propagar|VERB	B2	1.1518	stratum_4
persistir|VERB	B2	1.6298	stratum_4
achacar|VERB	B2	1.0564	stratum_5
desmesurar|VERB	B2	1.0635	stratum_5
principiar|VERB	B2	0.9909	stratum_6
rediseñar|VERB	B2	1.0546	stratum_6
desplomar|VERB	B2	0.9553	stratum_7
tergiversar|VERB	B2	0.9589	stratum_7
recluir|VERB	B2	0.2794	stratum_8
broncear|VERB	B2	0.2771	stratum_8
espirar|VERB	B2	0.1837	stratum_9
cuajar|VERB	B2	0.1837	stratum_9
reenganchar|VERB	B2	0.1468	stratum_10
divisar|VERB	B2	0.1468	stratum_10
acusado|NOUN	C1	1.1706	stratum_1
injuria|NOUN	C1	1.1528	stratum_1
inseminación|NOUN	C1	0.8412	stratum_2
democratización|NOUN	C1	0.6309	stratum_2
decencia|NOUN	C1	0.4683	stratum_3
toxina|NOUN	C1	0.6309	stratum_3
violación|NOUN	C1	0.4683	stratum_4
antidepresivo|NOUN	C1	0.4206	stratum_4
alumbramiento|NOUN	C1	0.2341	stratum_5
alfiler|NOUN	C1	0.2341	stratum_5
coito|NOUN	C1	0.2341	stratum_6
artefacto|NOUN	C1	0.2341	stratum_6
escalinata|NOUN	C1	0.2341	stratum_7
ensaladilla|NOUN	C1	0.2341	stratum_7
expectación|NOUN	C1	0.2341	stratum_8
grana|NOUN	C1	0.2341	stratum_8
indagación|NOUN	C1	0.2341	stratum_9
mercaduría|NOUN	C1	0.2341	stratum_9
pictograma|NOUN	C1	0.2341	stratum_10
musicalidad|NOUN	C1	0.2341	stratum_10
barajar|VERB	C1	1.1528	stratum_1
denegar|VERB	C1	1.1528	stratum_1
