word_entry	word_level_CEFRLex	word_frequency_total_CEFRLex	stratum_random_sample
porte|NOUN	A1	595.8551	stratum_1
tête|NOUN	A1	498.2581	stratum_1
journaliste|NOUN	A1	148.1599	stratum_2
appartement|NOUN	A1	126.8556	stratum_2
texte|NOUN	A1	99.2553	stratum_3
repas|NOUN	A1	106.7611	stratum_3
passé|NOUN	A1	83.9987	stratum_4
employé|NOUN	A1	74.2746	stratum_4
pauvre|NOUN	A1	52.3334	stratum_5
étranger|NOUN	A1	52.9841	stratum_5
température|NOUN	A1	40.0911	stratum_6
faute|NOUN	A1	47.0913	stratum_6
chant|NOUN	A1	30.1665	stratum_7
gaz|NOUN	A1	34.1894	stratum_7
charme|NOUN	A1	26.3432	stratum_8
tâche|NOUN	A1	24.5501	stratum_8
français|NOUN	A1	18.4035	stratum_9
indice|NOUN	A1	19.9715	stratum_9
dessert|NOUN	A1	15.2811	stratum_10
général|NOUN	A1	15.1251	stratum_10
entendre|VERB	A1	743.4353	stratum_1
vouloir|VERB	A1	1940.959	stratum_1
sembler|VERB	A1	348.7102	stratum_2
jouer|VERB	A1	353.1935	stratum_2
boire|VERB	A1	252.7749	stratum_3
dormir|VERB	A1	217.5919	stratum_3
réussir|VERB	A1	170.2758	stratum_4
obtenir|VERB	A1	123.0933	stratum_4
diriger|VERB	A1	87.0255	stratum_5
embrasser|VERB	A1	108.9174	stratum_5
réduire|VERB	A1	71.1308	stratum_6
remercier|VERB	A1	78.8717	stratum_6
accueillir|VERB	A1	70.0411	stratum_7
inventer|VERB	A1	67.2737	stratum_7
blesser|VERB	A1	54.0862	stratum_8
rouler|VERB	A1	50.7105	stratum_8
amener|VERB	A1	44.0785	stratum_9
admirer|VERB	A1	44.6655	stratum_9
rassurer|VERB	A1	31.9486	stratum_10
analyser|VERB	A1	35.1362	stratum_10
couverture|NOUN	A2	26.412	stratum_1
réseau|NOUN	A2	64.169	stratum_1
égard|NOUN	A2	19.3305	stratum_2
souris|NOUN	A2	17.0061	stratum_2
silhouette|NOUN	A2	14.3379	stratum_3
mensonge|NOUN	A2	11.708	stratum_3
plaque|NOUN	A2	10.6966	stratum_4
instance|NOUN	A2	8.6717	stratum_4
harmonie|NOUN	A2	6.6515	stratum_5
pilote|NOUN	A2	6.9536	stratum_5
mouche|NOUN	A2	6.0635	stratum_6
lame|NOUN	A2	5.5883	stratum_6
accessoire|NOUN	A2	4.3442	stratum_7
cliché|NOUN	A2	4.8354	stratum_7
lustre|NOUN	A2	3.8812	stratum_8
indemnité|NOUN	A2	3.5629	stratum_8
rêverie|NOUN	A2	2.9425	stratum_9
ruisseau|NOUN	A2	2.5687	stratum_9
collaboration|NOUN	A2	2.391	stratum_10
descendant|NOUN	A2	2.4748	stratum_10
contribuer|VERB	A2	39.9965	stratum_1
élever|VERB	A2	106.478	stratum_1
réclamer|VERB	A2	26.342	stratum_2
admettre|VERB	A2	26.6139	stratum_2
dominer|VERB	A2	20.0749	stratum_3
satisfaire|VERB	A2	24.01	stratum_3
accéder|VERB	A2	18.8718	stratum_4
progresser|VERB	A2	16.7791	stratum_4
signaler|VERB	A2	12.115	stratum_5
renverser|VERB	A2	13.721	stratum_5
ravir|VERB	A2	9.7561	stratum_6
parer|VERB	A2	11.8559	stratum_6
gâcher|VERB	A2	9.5107	stratum_7
négocier|VERB	A2	9.5684	stratum_7
soulager|VERB	A2	7.625	stratum_8
convoiter|VERB	A2	6.7418	stratum_8
côtoyer|VERB	A2	5.6353	stratum_9
clore|VERB	A2	6.2249	stratum_9
réconcilier|VERB	A2	4.7201	stratum_10
dispenser|VERB	A2	4.8577	stratum_10
demeure|NOUN	B1	12.0057	stratum_1
tranquillité|NOUN	B1	9.6798	stratum_1
aménagement|NOUN	B1	5.8051	stratum_2
pente|NOUN	B1	4.7952	stratum_2
bienfait|NOUN	B1	3.8514	stratum_3
vieillesse|NOUN	B1	3.0192	stratum_3
notoriété|NOUN	B1	2.4847	stratum_4
biologie|NOUN	B1	2.7739	stratum_4
fissure|NOUN	B1	2.1509	stratum_5
subvention|NOUN	B1	1.7005	stratum_5
parade|NOUN	B1	1.5078	stratum_6
apéro|NOUN	B1	1.5698	stratum_6
perfection|NOUN	B1	1.4368	stratum_7
alpiniste|NOUN	B1	1.0141	stratum_7
tracé|NOUN	B1	0.8882	stratum_8
pâture|NOUN	B1	0.9238	stratum_8
colporteur|NOUN	B1	0.6943	stratum_9
écologiste|NOUN	B1	0.6893	stratum_9
dégoût|NOUN	B1	0.6658	stratum_10
militantisme|NOUN	B1	0.6561	stratum_10
efforcer|VERB	B1	8.6209	stratum_1
envisager|VERB	B1	24.3206	stratum_1
nier|VERB	B1	5.7249	stratum_2
dédier|VERB	B1	5.2464	stratum_2
échouer|VERB	B1	4.6452	stratum_3
garnir|VERB	B1	3.9138	stratum_3
épanouir|VERB	B1	3.5281	stratum_4
découler|VERB	B1	3.094	stratum_4
évacuer|VERB	B1	2.4763	stratum_5
attarder|VERB	B1	2.4414	stratum_5
délibérer|VERB	B1	1.6029	stratum_6
carrer|VERB	B1	1.6136	stratum_6
réintroduire|VERB	B1	1.5563	stratum_7
recharger|VERB	B1	1.546	stratum_7
réutiliser|VERB	B1	1.4332	stratum_8
déchiffrer|VERB	B1	1.4571	stratum_8
clouer|VERB	B1	1.0194	stratum_9
esquisser|VERB	B1	0.7115	stratum_9
coder|VERB	B1	0.7068	stratum_10
matérialiser|VERB	B1	0.7013	stratum_10
souche|NOUN	B2	6.618	stratum_1
moule|NOUN	B2	2.079	stratum_1
bonhomie|NOUN	B2	0.8475	stratum_2
garderie|NOUN	B2	0.8475	stratum_2
rebut|NOUN	B2	0.7202	stratum_3
dissociation|NOUN	B2	0.7502	stratum_3
pendant|NOUN	B2	0.6322	stratum_4
exutoire|NOUN	B2	0.7085	stratum_4
programmation|NOUN	B2	0.6143	stratum_5
divulgation|NOUN	B2	0.6191	stratum_5
bourgmestre|NOUN	B2	0.1955	stratum_6
cendrier|NOUN	B2	0.1842	stratum_6
ecchymose|NOUN	B2	0.0654	stratum_7
bagne|NOUN	B2	0.105	stratum_7
concordance|NOUN	B2	0.0652	stratum_8
biscuit|NOUN	B2	0.0652	stratum_8
limpidité|NOUN	B2	0.0652	stratum_9
rambarde|NOUN	B2	0.0652	stratum_9
casse-cou|NOUN	B2	0.0614	stratum_10
accumulation|NOUN	B2	0.0614	stratum_10
rallonger|VERB	B2	2.5855	stratum_1
décentraliser|VERB	B2	2.6786	stratum_1
ravager|VERB	B2	1.0966	stratum_2
camoufler|VERB	B2	1.4164	stratum_2
alarmer|VERB	B2	0.9811	stratum_3
accaparer|VERB	B2	0.9132	stratum_3
réinventer|VERB	B2	0.7167	stratum_4
écarquiller|VERB	B2	0.7202	stratum_4
tonitruer|VERB	B2	0.6502	stratum_5
enquêter|VERB	B2	0.6634	stratum_5
manoeuvrer|VERB	B2	0.5678	stratum_6
planer|VERB	B2	0.5901	stratum_6
encastrer|VERB	B2	0.4907	stratum_7
rabattre|VERB	B2	0.5215	stratum_7
dénaturer|VERB	B2	0.0652	stratum_8
engoncer|VERB	B2	0.0652	stratum_8
primer|VERB	B2	0.0652	stratum_9
fleurer|VERB	B2	0.0652	stratum_9
retrousser|VERB	B2	0.0652	stratum_10
barbeler|VERB	B2	0.0614	stratum_10
filiation|NOUN	C1	1.9463	stratum_1
dérogation|NOUN	C1	1.379	stratum_1
restriction|NOUN	C1	0.9385	stratum_2
fluctuation|NOUN	C1	1.035	stratum_2
validation|NOUN	C1	0.7913	stratum_3
déviance|NOUN	C1	0.7219	stratum_3
effondrement|NOUN	C1	0.3902	stratum_4
annulaire|NOUN	C1	0.2862	stratum_4
désapprobation|NOUN	C1	0.1951	stratum_5
ossement|NOUN	C1	0.2862	stratum_5
bourdonnement|NOUN	C1	0.1431	stratum_6
brasier|NOUN	C1	0.1431	stratum_6
confinement|NOUN	C1	0.1431	stratum_7
couleuvre|NOUN	C1	0.1431	stratum_7
friand|NOUN	C1	0.1431	stratum_8
filage|NOUN	C1	0.1431	stratum_8
intumescence|NOUN	C1	0.1431	stratum_9
moelle|NOUN	C1	0.1431	stratum_9
oreillette|NOUN	C1	0.1431	stratum_10
normalité|NOUN	C1	0.1431	stratum_10
fidéliser|VERB	C1	1.1126	stratum_1
refroidir|VERB	C1	3.1548	stratum_1
imputer|VERB	C1	0.7913	stratum_2
requérir|VERB	C1	0.7913	stratum_2
instaurer|VERB	C1	0.7262	stratum_3
déployer|VERB	C1	0.4293	stratum_3
incarcérer|VERB	C1	0.2862	stratum_4
contaminer|VERB	C1	0.2862	stratum_4
submerger|VERB	C1	0.2862	stratum_5
émaner|VERB	C1	0.2862	stratum_5
attiser|VERB	C1	0.1431	stratum_6
bouder|VERB	C1	0.1431	stratum_6
chantonner|VERB	C1	0.1431	stratum_7
discipliner|VERB	C1	0.1431	stratum_7
enjoindre|VERB	C1	0.1431	stratum_8
empêtrer|VERB	C1	0.1431	stratum_8
liquéfier|VERB	C1	0.1431	stratum_9
marabouter|VERB	C1	0.1431	stratum_9
nuancer|VERB	C1	0.1431	stratum_10
pulvériser|VERB	C1	0.1431	stratum_10
hypertension|NOUN	C2	0.7913	stratum_1
causalité|NOUN	C2	0.7219	stratum_1
préau|NOUN	C2	0.2862	stratum_2
machinerie|NOUN	C2	0.2862	stratum_2
séquençage|NOUN	C2	0.1972	stratum_3
abstraction|NOUN	C2	0.1431	stratum_3
cafetan|NOUN	C2	0.1431	stratum_4
baby-boom|NOUN	C2	0.1431	stratum_4
continuum|NOUN	C2	0.1431	stratum_5
entremise|NOUN	C2	0.1431	stratum_5
glande|NOUN	C2	0.1431	stratum_6
humérus|NOUN	C2	0.1431	stratum_6
import|NOUN	C2	0.1431	stratum_7
lipide|NOUN	C2	0.1431	stratum_7
museau|NOUN	C2	0.1431	stratum_8
marquage|NOUN	C2	0.1431	stratum_8
psychanalyse|NOUN	C2	0.1431	stratum_9
pesanteur|NOUN	C2	0.1431	stratum_9
rocaille|NOUN	C2	0.1431	stratum_10
réprobation|NOUN	C2	0.1431	stratum_10
raviver|VERB	C2	0.1951	stratum_1
galvaniser|VERB	C2	0.1951	stratum_1
affluer|VERB	C2	0.1431	stratum_2
butiner|VERB	C2	0.1431	stratum_2
chambouler|VERB	C2	0.1431	stratum_3
contrebalancer|VERB	C2	0.1431	stratum_3
dédoubler|VERB	C2	0.1431	stratum_4
cotiser|VERB	C2	0.1431	stratum_4
estomper|VERB	C2	0.1431	stratum_5
dégeler|VERB	C2	0.1431	stratum_5
indéterminer|VERB	C2	0.1431	stratum_6
impréciser|VERB	C2	0.1431	stratum_6
outrepasser|VERB	C2	0.1431	stratum_7
oxygéner|VERB	C2	0.1431	stratum_7
préexister|VERB	C2	0.1431	stratum_8
postuler|VERB	C2	0.1431	stratum_8
