word_entry	word_level_CEFRLex	word_frequency_total_CEFRLex	stratum_random_sample
pappa|NOUN	A1	663.9723	stratum_1
människa|NOUN	A1	1434.6382	stratum_1
förälder|NOUN	A1	598.025	stratum_2
flicka|NOUN	A1	299.5258	stratum_2
kläder|NOUN	A1	258.4389	stratum_3
sida|NOUN	A1	260.6626	stratum_3
son|NOUN	A1	188.3012	stratum_4
musik|NOUN	A1	191.9477	stratum_4
syskon|NOUN	A1	111.0088	stratum_5
säng|NOUN	A1	140.0676	stratum_5
journalist|NOUN	A1	87.3389	stratum_6
granne|NOUN	A1	85.486	stratum_6
cykel|NOUN	A1	71.3657	stratum_7
ägg|NOUN	A1	83.7918	stratum_7
varuhus|NOUN	A1	53.3771	stratum_8
väska|NOUN	A1	55.0999	stratum_8
hyra|NOUN	A1	49.729	stratum_9
promenad|NOUN	A1	49.8042	stratum_9
fabrik|NOUN	A1	35.5857	stratum_10
stuga|NOUN	A1	34.491	stratum_10
skola|VERB	A1	6146.6272	stratum_1
vara|VERB	A1	32014.5735	stratum_1
tycka|VERB	A1	1527.7699	stratum_2
se|VERB	A1	2358.8797	stratum_2
sitta|VERB	A1	1003.8964	stratum_3
äta|VERB	A1	1064.7144	stratum_3
köpa|VERB	A1	899.84	stratum_4
titta|VERB	A1	703.1913	stratum_4
försöka|VERB	A1	574.698	stratum_5
höra|VERB	A1	695.4656	stratum_5
heta|VERB	A1	502.9211	stratum_6
vänta|VERB	A1	457.3865	stratum_6
flytta|VERB	A1	390.5337	stratum_7
sluta|VERB	A1	393.2995	stratum_7
resa|VERB	A1	356.362	stratum_8
betala|VERB	A1	347.9404	stratum_8
sälja|VERB	A1	241.1845	stratum_9
vinna|VERB	A1	271.1214	stratum_9
möta|VERB	A1	207.012	stratum_10
intressera|VERB	A1	193.1084	stratum_10
minut|NOUN	A2	232.3467	stratum_1
miljö|NOUN	A2	133.3936	stratum_1
dam|NOUN	A2	65.6332	stratum_2
älg|NOUN	A2	72.2934	stratum_2
rygg|NOUN	A2	51.4073	stratum_3
skiva|NOUN	A2	38.2177	stratum_3
skuld|NOUN	A2	23.6192	stratum_4
föremål|NOUN	A2	32.6017	stratum_4
motorcykel|NOUN	A2	18.0122	stratum_5
ro|NOUN	A2	21.9798	stratum_5
brand|NOUN	A2	11.6497	stratum_6
påve|NOUN	A2	13.4893	stratum_6
matematik|NOUN	A2	9.8828	stratum_7
korridor|NOUN	A2	10.5799	stratum_7
folkdräkt|NOUN	A2	8.2431	stratum_8
svärmor|NOUN	A2	8.2716	stratum_8
gråt|NOUN	A2	5.3739	stratum_9
höststorm|NOUN	A2	5.1356	stratum_9
studielån|NOUN	A2	4.5947	stratum_10
trottoar|NOUN	A2	4.2035	stratum_10
tvinga|VERB	A2	245.0148	stratum_1
kalla|VERB	A2	602.9015	stratum_1
hinna|VERB	A2	167.8399	stratum_2
undra|VERB	A2	197.4291	stratum_2
märka|VERB	A2	119.4864	stratum_3
leka|VERB	A2	112.672	stratum_3
önska|VERB	A2	79.4762	stratum_4
orka|VERB	A2	95.4934	stratum_4
cykla|VERB	A2	78.6828	stratum_5
lära|VERB	A2	73.2532	stratum_5
sjunka|VERB	A2	57.1137	stratum_6
tacka|VERB	A2	58.7349	stratum_6
utbilda|VERB	A2	43.8059	stratum_7
konstatera|VERB	A2	47.5081	stratum_7
återkomma|VERB	A2	31.9507	stratum_8
höja|VERB	A2	32.8041	stratum_8
syssla|VERB	A2	24.7272	stratum_9
motionera|VERB	A2	28.0272	stratum_9
avskaffa|VERB	A2	19.8728	stratum_10
stödja|VERB	A2	19.8346	stratum_10
förklaring|NOUN	B1	54.5288	stratum_1
andel|NOUN	B1	45.2522	stratum_1
